name,roaster,roast,loc_country,origin,100g_USD,rating,mes,ano,preco_qualidade,idade_cafe,avaliacao_rating,classificacao_preco
Kenya Gicherori,The WestBean Coffee Roasters,Medium-Light,United States,Kenya,7.05,91,December,2017,0.07747252747252747,7,High,caro
Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,United States,Ethiopia,4.11,90,February,2018,0.04566666666666667,6,Medium,barato
Gedeb Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,95,January,2018,0.057999999999999996,6,High,intermediario
Ethiopia Banko Gotiti,Red Rooster Coffee Roaster,Light,United States,Ethiopia,4.99,94,January,2018,0.053085106382978725,6,High,barato
Colombia David Gomez 100% Caturra,Manzanita Roasting Company,Light,United States,Colombia,5.0,92,January,2018,0.05434782608695652,6,High,barato
Indonesia Emerald Mandheling,A.R.C.,Medium-Light,Hong Kong,Indonesia,8.02,92,January,2018,0.08717391304347825,6,High,caro
Ethiopia Reko Estate Yirgacheffe,Temple Coffee and Tea,Medium-Light,United States,Ethiopia,5.58,92,January,2018,0.06065217391304348,6,High,intermediario
Mini-Me Washed Kaffa Forest,Simon Hsieh’s Aroma Roast Coffees,Medium-Dark,Taiwan,Ethiopia,9.2,95,January,2018,0.09684210526315788,6,High,caro
Ethiopia Dumerso Light Roast,The WestBean Coffee Roasters,Medium,United States,Ethiopia,7.05,92,February,2018,0.0766304347826087,6,High,caro
Kenya AA Karamundi,Revel Coffee,Medium-Light,United States,Kenya,4.56,92,February,2018,0.049565217391304345,6,High,barato
Ethiopia Natural Sidamo Papilio,Kakalove Cafe,Light,Taiwan,Ethiopia,4.25,93,February,2018,0.0456989247311828,6,High,barato
Ethiopia Banko Gotiti Natural,Kakalove Cafe,Light,Taiwan,Ethiopia,4.6,94,February,2018,0.04893617021276595,6,High,barato
Peru Finca Ecológica Agua Colorada,Red Rooster Coffee Roaster,Light,United States,Peru,4.85,93,February,2018,0.0521505376344086,6,High,barato
Guatemala Retiro Natural Process,Durango Coffee Company,Medium-Light,United States,Guatemala,4.63,94,February,2018,0.04925531914893617,6,High,barato
Gaitania Colombia,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.63,93,February,2018,0.04978494623655914,6,High,barato
Rwanda Remera Kabeza,Durango Coffee Company,Medium,United States,Rwanda,4.98,93,February,2018,0.053548387096774196,6,High,barato
Dodora Double,Barrington Coffee Roasting,Light,United States,Ethiopia,8.77,96,March,2018,0.09135416666666667,6,Excellent,caro
Lekali (Nepal),Barrington Coffee Roasting,Medium,United States,Nepal,8.77,90,March,2018,0.09744444444444444,6,Medium,caro
Costa Rica Tarrazu,Caffe Luxxe,Medium-Light,United States,Costa Rica,7.35,91,March,2018,0.08076923076923076,6,High,caro
Ethiopia Reko,Java Blend Coffee Roasters,Medium-Light,Canada,Ethiopia,3.31,92,March,2018,0.035978260869565216,6,High,barato
Kenya Kirinyaga,Big Shoulders Coffee,Light,United States,Kenya,4.41,94,March,2018,0.04691489361702128,6,High,barato
Ethiopia,Caffeic,Medium-Light,United States,Ethiopia,4.12,93,March,2018,0.04430107526881721,6,High,barato
Ethiopia Guji Deri Korcha White Honey,Kakalove Cafe,Light,Taiwan,Ethiopia,3.92,93,March,2018,0.042150537634408604,6,High,barato
Rwanda Bufcafe Remera,Mr. Espresso,Medium,United States,Rwanda,4.26,92,March,2018,0.04630434782608695,6,High,barato
Ethiopia Suke Quto Honey,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,94,February,2018,0.05617021276595745,6,High,barato
Ethiopia Worka Natural,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,4.85,93,April,2018,0.0521505376344086,6,High,barato
Ecuador Pichincha Typica,Paradise Roasters,Medium-Light,United States,Ecuador,6.15,93,April,2018,0.06612903225806452,6,High,intermediario
Kenya Ndnunduri,Greater Goods Coffee Roasters,Medium-Light,United States,Kenya,5.0,93,April,2018,0.053763440860215055,6,High,barato
Ethiopia Gedeb Gotiti,Tico Coffee Roasters,Light,United States,Ethiopia,5.88,93,April,2018,0.0632258064516129,6,High,intermediario
Ethiopia Guji Gigessa,Roasters Note,Light,Taiwan,Ethiopia,6.51,94,April,2018,0.06925531914893616,6,High,caro
Gedeb Espresso,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,94,April,2018,0.058617021276595745,6,High,intermediario
Gaitania Espresso,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.63,93,April,2018,0.04978494623655914,6,High,barato
Ethiopia Sidamo Shakiso Danbi Uddo Mulish Natural G1,Evie's Cafe,Medium-Light,Taiwan,Ethiopia,4.93,92,March,2018,0.05358695652173913,6,High,barato
Static Indonesia Toarco Sulawesi,Espresso Republic,Medium-Light,United States,Indonesia,5.88,91,March,2018,0.06461538461538462,6,High,intermediario
Brazil Chapada Diamantina Fazenda Floresta,Soul Work Coffee,Medium-Light,United States,Brazil,6.61,92,May,2018,0.07184782608695653,6,High,caro
Ethiopia Banko Gotiti Natural,Coffee Please,Light,Taiwan,Ethiopia,4.96,94,April,2018,0.05276595744680851,6,High,barato
Guji Allona Ethiopia Natural,Peri Coffee,Medium-Light,United States,Ethiopia,5.73,93,April,2018,0.061612903225806454,6,High,intermediario
Kenya Nyeri Gatugi Peaberry,Moore Coffee,Medium,United States,Kenya,5.28,94,April,2018,0.05617021276595745,6,High,barato
Ethiopia Yirgacheffe Koke,Argyle Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,93,April,2018,0.05688172043010753,6,High,barato
Gedeb Yirgacheffe Ethiopia,Bluebeard Coffee Roasters,Medium-Light,United States,Ethiopia,5.0,93,April,2018,0.053763440860215055,6,High,barato
DR Congo FTO Bourbon SOPACDI,Dragonfly Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.29,94,June,2018,0.05627659574468085,6,High,barato
Kenya Nyeri Rumukia Peaberry,Green Stone Coffee,Medium,Taiwan,Kenya,6.83,92,May,2018,0.07423913043478261,6,High,caro
Kenya Nyeri Karuthi AA,Direct Coffee,Medium-Light,Taiwan,Kenya,8.88,92,May,2018,0.0965217391304348,6,High,caro
Mirador Colombia,Lexington Coffee Roasters,Medium-Light,United States,Colombia,4.85,92,May,2018,0.05271739130434782,6,High,barato
Kenya Kirinyaga Mukangu AB,Coffee Please,Medium-Light,Taiwan,Kenya,5.66,92,May,2018,0.06152173913043479,6,High,intermediario
Brazil Carmo de Minas Natural,Big Creek Coffee Roasters,Medium-Light,United States,Brazil,4.56,91,May,2018,0.05010989010989011,6,High,barato
Brazil Pulped Natural,Nook Bakery & Coffee Bar,Medium-Light,United States,Brazil,5.64,91,May,2018,0.06197802197802198,6,High,intermediario
Minas Gerais Isaias Ferreira No. 2,Novel Coffee Roasters,Medium-Light,United States,Brazil,5.29,91,May,2018,0.05813186813186813,6,High,barato
Brasil Ipanema Premier Cru Gold B69 Natural,Back Home Coffee,Medium-Light,Taiwan,Brazil,5.92,90,May,2018,0.06577777777777778,6,Medium,intermediario
Brazil Fazenda São Bento,Old Soul Co.,Medium-Light,United States,Brazil,5.29,93,May,2018,0.05688172043010753,6,High,barato
Fazenda Recreio Bourbon Pulped Natural,Auto Coffee,Medium-Light,Taiwan,Brazil,3.19,93,May,2018,0.034301075268817205,6,High,barato
Brazil Ouro de Minas Pulped Natural,Corvus Coffee Roasters,Medium-Light,United States,Brazil,4.56,92,May,2018,0.049565217391304345,6,High,barato
Ethiopia Dumerso,The Curve Coffee Roasting Co.,Medium-Light,Taiwan,Ethiopia,8.5,93,June,2018,0.0913978494623656,6,High,caro
Burundi Gaharo Hill Long Miles Coffee Project Natural,Mustard Seed Cafe,Medium-Light,Taiwan,Burundi,9.16,92,June,2018,0.09956521739130435,6,High,caro
Rwanda Cyato,Big Creek Coffee Roasters,Medium-Light,United States,Rwanda,4.56,90,June,2018,0.050666666666666665,6,Medium,barato
Burundi Gitwe Natural Bourbon,Olympia Coffee Roasting,Medium-Light,United States,Burundi,4.52,93,June,2018,0.048602150537634406,6,High,barato
Burundi Long Miles Coffee Project Natural,Green Stone Coffee,Medium-Light,Taiwan,Burundi,9.24,92,June,2018,0.10043478260869565,6,High,caro
Long Miles Coffee Project Nkonge Hill Burundi Red Honey,Kakalove Cafe,Medium-Light,Taiwan,Burundi,5.31,92,June,2018,0.057717391304347825,6,High,intermediario
Burundi Nkonge Hill Red Honey,Caffeic,Medium,United States,Burundi,4.41,93,July,2018,0.04741935483870968,6,High,barato
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,Ethiopia,5.58,94,July,2018,0.05936170212765957,6,High,intermediario
Ethiopia Guji Natural Dasaya G1,Small Eyes Cafe,Light,Taiwan,Ethiopia,5.66,93,July,2018,0.06086021505376344,6,High,intermediario
Natural Sidamo Twakok G1,Kakalove Cafe,Light,Taiwan,Ethiopia,3.68,94,August,2018,0.03914893617021277,6,High,barato
Costa Rica Cumbres Del Poas “Perla Negra” Natural,Magnolia Coffee,Medium-Light,United States,Costa Rica,5.29,94,August,2018,0.05627659574468085,6,High,barato
YCFCU Banko Gotiti Coop G1,Taokas Coffee,Medium-Dark,Taiwan,Ethiopia,6.02,95,August,2018,0.06336842105263157,6,High,intermediario
Costa Rica Perla Negra,Durango Coffee Company,Medium,United States,Costa Rica,4.98,95,August,2018,0.05242105263157895,6,High,barato
Ethiopia Deri Kochoha,States Coffee & Mercantile,Medium-Light,United States,Ethiopia,5.29,93,August,2018,0.05688172043010753,6,High,barato
Guatemala Finca Las Terrazas,States Coffee & Mercantile,Medium-Light,United States,Guatemala,5.29,93,August,2018,0.05688172043010753,6,High,barato
Static Peru Valle de Chingama Peru,Espresso Republic,Medium-Light,United States,Peru,4.1,92,August,2018,0.04456521739130435,6,High,barato
Static Chirinos Peru,Espresso Republic,Medium-Light,United States,Peru,4.1,90,August,2018,0.04555555555555555,6,Medium,barato
Kenya Muranga Gondo,Temple Coffee and Tea,Medium-Light,United States,Kenya,6.17,93,August,2018,0.06634408602150538,6,High,intermediario
Costa Rica Esteban Zamora,Temple Coffee and Tea,Medium-Light,United States,Costa Rica,6.03,91,August,2018,0.06626373626373627,6,High,intermediario
Kenya,Evie's Cafe,Medium,Taiwan,Kenya,5.64,92,August,2018,0.06130434782608695,6,High,intermediario
Ethiopia Kochere Debo Washed Gellana,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.89,94,September,2018,0.041382978723404254,6,High,barato
Guatemala Huehuetenango Miralvalle Washed,Crown & Fancy,Medium,Taiwan,Guatemala,5.36,92,August,2018,0.058260869565217394,6,High,intermediario
Ethiopia Gotiti Natural,Green Stone Coffee,Medium,Taiwan,Ethiopia,8.21,95,August,2018,0.08642105263157895,6,High,caro
Ethiopia Kayon Mountain Natural,Lexington Coffee Roasters,Medium-Light,United States,Ethiopia,5.57,93,August,2018,0.059892473118279575,6,High,intermediario
Organic Dulce de Guatemala,Paradise Roasters,Medium-Light,United States,Guatemala,3.51,93,August,2018,0.03774193548387097,6,High,barato
Karimikui Espresso,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.73,94,August,2018,0.060957446808510646,6,High,intermediario
Guatemala Finca El Limonar Hugo Chavez Mendez,Soul Work Coffee,Medium-Light,United States,Guatemala,5.88,92,August,2018,0.06391304347826086,6,High,intermediario
Colombia Finca La Loma Antonio Gualguan,Soul Work Coffee,Medium-Light,United States,Colombia,5.88,91,August,2018,0.06461538461538462,6,High,intermediario
Granja La Esperanza Tres Dragones Natural,PT's Coffee Roasting,Medium-Light,United States,Colombia,6.91,93,August,2018,0.07430107526881721,6,High,caro
Costa Rica Tirra Natural,Argyle Coffee Roasters,Medium-Light,United States,Costa Rica,5.29,92,August,2018,0.0575,6,High,barato
Ethiopia Yirgacheffe Natural Espresso,Dragonfly Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,94,September,2018,0.05627659574468085,6,High,barato
Ethiopia Yirgacheffe Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,94,September,2018,0.05627659574468085,6,High,barato
Guatemala Finca El General Lot ALT8 Espresso,Kakalove Cafe,Medium-Light,Taiwan,Guatemala,3.89,94,September,2018,0.041382978723404254,6,High,barato
Ethiopia Limu,Big Shoulders Coffee,Medium-Light,United States,Ethiopia,5.29,93,October,2018,0.05688172043010753,6,High,barato
Ethiopia Bensa Segra Natural,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,93,October,2018,0.05053763440860215,6,High,barato
Ethiopia Hambela Natural,Big Shoulders Coffee,Medium-Light,United States,Ethiopia,5.29,94,October,2018,0.05627659574468085,6,High,barato
Ethiopia Kayon Mountain,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,93,October,2018,0.05053763440860215,6,High,barato
Guatemala Huehuetenango La Garita,Big Creek Coffee Roasters,Medium-Light,United States,Guatemala,4.41,92,October,2018,0.04793478260869565,6,High,barato
Roba Ethiopia (Chelbessa),Greater Goods Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,93,October,2018,0.05688172043010753,6,High,barato
Ethiopia Hambela Hasam,Revel Coffee,Medium-Light,United States,Ethiopia,5.0,93,October,2018,0.053763440860215055,6,High,barato
Ethiopia Gera Limmu Oromia,Temple Coffee and Tea,Medium-Light,United States,Ethiopia,5.14,94,September,2018,0.054680851063829784,6,High,barato
Kenya Kabare Konyu,Temple Coffee and Tea,Medium-Light,United States,Kenya,6.03,94,September,2018,0.06414893617021276,6,High,intermediario
Alemu Bukato Espresso,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,95,September,2018,0.057999999999999996,6,High,intermediario
Alemu Bukato Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,93,September,2018,0.059247311827956985,6,High,intermediario
ASOPEP Colombia,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.63,91,September,2018,0.05087912087912088,6,High,barato
Karimikui Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.73,94,October,2018,0.060957446808510646,6,High,intermediario
Kenya Baragwi Thimu Peaberry,Temple Coffee and Tea,Medium-Light,United States,Kenya,5.73,94,October,2018,0.060957446808510646,6,High,intermediario
Kariru Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.73,94,October,2018,0.060957446808510646,6,High,intermediario
Kenya Kiambu,Revel Coffee,Medium-Light,United States,Kenya,4.92,94,October,2018,0.05234042553191489,6,High,barato
Ethiopia,Caffeic,Medium-Light,United States,Ethiopia,3.97,93,October,2018,0.04268817204301076,6,High,barato
Kenya AA Top Lot,Mystic Monk Coffee,Medium,United States,Kenya,3.51,93,October,2018,0.03774193548387097,6,High,barato
Kenya Kainamui,Sweet Bloom Coffee Roasters,Medium-Light,United States,Kenya,5.88,93,October,2018,0.0632258064516129,6,High,intermediario
Kenya Kariru PB,Corvus Coffee Roasters,Light,United States,Kenya,6.17,92,October,2018,0.06706521739130435,6,High,intermediario
Organic Ethiopia Sidama Natural,Desert Sun Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,92,October,2018,0.051086956521739134,6,High,barato
Colombia Narino Excelsio,Jackrabbit Java,Medium-Light,United States,Colombia,3.53,92,October,2018,0.0383695652173913,6,High,barato
Ethiopia Washed Phoenix Special “Muse”,Simon Hsieh's Aroma Roast Coffees,Medium-Dark,Taiwan,Ethiopia,9.91,95,October,2018,0.10431578947368421,6,High,caro
Kenya AB Phoenix Special “Glory”,Simon Hsieh's Aroma Roast Coffees,Medium-Dark,Taiwan,Kenya,10.62,94,October,2018,0.11297872340425531,6,High,caro
Kenya Ritho FCS Handege Factory AB,Kakalove Cafe,Medium-Light,Taiwan,Kenya,5.31,96,October,2018,0.055312499999999994,6,Excellent,intermediario
Ethiopia Misti Valley,Durango Coffee Company,Medium,United States,Ethiopia,4.98,93,November,2018,0.053548387096774196,6,High,barato
Ethiopia Guji,North Coast Coffee Roasting,Medium-Light,United States,Ethiopia,4.76,90,November,2018,0.05288888888888889,6,Medium,barato
Kenya Kabingara,Klatch Coffee,Medium-Light,United States,Kenya,5.86,94,November,2018,0.0623404255319149,6,High,intermediario
Guatemala Huehuetenango,Grounds for Change,Medium,United States,Guatemala,3.6,92,November,2018,0.0391304347826087,6,High,barato
Adanech Ethiopia Guji,Steady State Roasting Company,Light,United States,Ethiopia,5.29,91,November,2018,0.05813186813186813,6,High,barato
Kenya Konyu,Branch Street Coffee Roasters,Medium-Light,United States,Kenya,5.73,95,October,2018,0.06031578947368422,6,High,intermediario
La Union (Colombia),Barrington Coffee Roasting,Medium-Light,United States,Colombia,4.54,91,October,2018,0.04989010989010989,6,High,barato
Colombia Luis Alberto Montoya Antioquia,Temple Coffee and Tea,Medium-Light,United States,Colombia,5.44,92,October,2018,0.0591304347826087,6,High,intermediario
Guatemala Octavio Lopez,Temple Coffee and Tea,Medium-Light,United States,Guatemala,5.14,92,October,2018,0.0558695652173913,6,High,barato
Kenya AA Top Gachatha,GK Coffee,Medium-Light,Taiwan,Kenya,9.6,93,November,2018,0.1032258064516129,6,High,caro
Ethiopia Yirgacheffe G1 Chachale Natural,GK Coffee,Medium-Light,Taiwan,Ethiopia,8.0,93,November,2018,0.08602150537634409,6,High,caro
Quejina Guatemala,Lexington Coffee Roasters,Medium-Light,United States,Guatemala,5.0,90,November,2018,0.05555555555555555,6,Medium,barato
La Providencia Guatemala Maragogype,Bird Rock Coffee Roasters,Medium-Light,United States,Guatemala,6.17,94,November,2018,0.06563829787234042,6,High,intermediario
Finca Insul Guatemala Pacamara,Augie's Coffee Roasters,Medium-Light,United States,Guatemala,5.29,93,November,2018,0.05688172043010753,6,High,barato
Cuxinales Guatemala,Barrington Coffee Roasting,Medium-Light,United States,Guatemala,5.57,93,November,2018,0.059892473118279575,6,High,intermediario
Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,Kakalove Cafe,Light,Taiwan,Guatemala,7.08,93,November,2018,0.07612903225806451,6,High,caro
Flowery Nekisse,Ho Soo Tsai,Medium-Light,Taiwan,Ethiopia,7.94,95,December,2018,0.08357894736842106,6,High,caro
Ethiopia Kayon Mountain,Ben's Beans,Medium-Light,United States,Ethiopia,4.98,93,November,2018,0.053548387096774196,6,High,barato
Ethiopia Reko,Temple Coffee and Tea,Medium-Light,United States,Ethiopia,5.58,91,November,2018,0.06131868131868132,6,High,intermediario
Perla del Otún,Espresso Republic,Medium-Light,United States,Colombia,4.41,91,November,2018,0.048461538461538466,6,High,barato
Decaf Classic Espresso,Espresso Republic,Medium,United States,Colombia,4.98,90,November,2018,0.05533333333333334,6,Medium,barato
Nano Challa,Bird Rock Coffee Roasters,Medium-Light,United States,Ethiopia,6.76,93,November,2018,0.07268817204301076,6,High,caro
Ethiopia Gugi,Topeca Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,93,December,2018,0.05053763440860215,6,High,barato
Kenya Murunga New Gatanga FCS Mukurwe Factory AB,Small Eyes Cafe,Medium-Light,Taiwan,Kenya,7.05,94,December,2018,0.075,6,High,caro
Ethiopia WORKA,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,5.29,94,December,2018,0.05627659574468085,6,High,barato
Guatemala Hunapu,Temple Coffee and Tea,Medium-Light,United States,Guatemala,5.14,93,December,2018,0.055268817204301074,6,High,barato
Ethiopia Banko Dhadhato Washed,Red Rooster Coffee Roaster,Light,United States,Ethiopia,5.29,94,December,2018,0.05627659574468085,6,High,barato
Kenya Rugeto Peaberry,Temple Coffee and Tea,Medium,United States,Kenya,5.88,93,December,2018,0.0632258064516129,6,High,intermediario
Gayo Aceh Sumatra,JBC Coffee Roasters,Medium-Light,United States,Indonesia,4.7,92,December,2018,0.051086956521739134,6,High,barato
Kenya Nyeri Nudurutu Factory AB,Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.25,94,December,2018,0.04521276595744681,6,High,barato
Ethiopia Kochere Washed Saona Lot,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,4.11,95,December,2018,0.043263157894736844,6,High,barato
Ethiopia Guji Natural Dasaya,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,4.25,94,December,2018,0.04521276595744681,6,High,barato
Holiday Blend,Olympia Coffee Roasting,Medium-Light,United States,Ethiopia,5.73,93,December,2018,0.061612903225806454,6,High,intermediario
El Salvador Pacamara,Speckled Ax,Medium-Light,United States,El Salvador,7.35,92,December,2018,0.07989130434782608,6,High,caro
Guji Oraga Tabe,Steadfast Coffee,Medium-Light,United States,Ethiopia,6.76,92,December,2018,0.07347826086956522,6,High,caro
Bombe Natural Sidama,Broadsheet Coffee,Medium-Light,United States,Ethiopia,6.17,92,February,2019,0.06706521739130435,5,High,intermediario
Ethiopia Yirgacheffe Botabaa G1,De Clieu Coffee,Medium-Light,Taiwan,Ethiopia,5.66,92,February,2019,0.06152173913043479,5,High,intermediario
Ethiopia Haro Wachu,Turnstile Coffee Roasters,Medium-Light,United States,Ethiopia,6.61,94,February,2019,0.07031914893617022,5,High,caro
Banco Gotete Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.44,94,February,2019,0.05787234042553192,5,High,intermediario
Ethiopia Yirgacheffe Kochere,Blues Brew Coffee,Medium-Light,Taiwan,Ethiopia,6.4,93,February,2019,0.06881720430107527,5,High,caro
Ethiopia Deri Kochoha,Flight Coffee Co.,Medium-Light,United States,Ethiopia,5.0,93,January,2019,0.053763440860215055,5,High,barato
Kenya Ruthaka Peaberry,Temple Coffee Roasters,Medium,United States,Kenya,5.58,95,January,2019,0.05873684210526316,5,High,intermediario
Ethiopia Gora Kone Sidamo,Temple Coffee Roasters,Medium-Light,United States,Ethiopia,5.88,93,January,2019,0.0632258064516129,5,High,intermediario
Kivu DR Congo,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,4.97,94,January,2019,0.05287234042553191,5,High,barato
Ethiopia Yirgacheffe Awassa,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,93,January,2019,0.0567741935483871,5,High,barato
Colombia Sidra,Kaffetre,Medium-Light,Taiwan,Colombia,6.61,94,December,2018,0.07031914893617022,6,High,caro
Colombia Geisha,Paradise Roasters,Medium-Light,United States,Colombia,7.61,94,December,2018,0.08095744680851064,6,High,caro
Rwanda Kanzu,Dragonfly Coffee Roasters,Medium-Light,United States,Rwanda,7.05,94,February,2019,0.075,5,High,caro
Ethiopia Kochere Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,94,February,2019,0.05627659574468085,5,High,barato
Kenya Thirikwa Single-Origin Espresso,Temple Coffee Roasters,Medium,United States,Kenya,6.47,94,February,2019,0.06882978723404255,5,High,caro
Colombia La Guamera Honey,Origin Coffee Roasters,Medium-Light,Hawai'i,Colombia,5.58,92,February,2019,0.06065217391304348,5,High,intermediario
Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,United States,Ethiopia,4.11,91,February,2019,0.04516483516483517,5,High,barato
Ethiopia Washed Kochere,Speedwell Coffee,Medium-Light,United States,Ethiopia,5.29,92,February,2019,0.0575,5,High,barato
Ethiopia Tadese Yonka,Gracenote Coffee Roasters,Medium-Light,United States,Ethiopia,5.58,93,February,2019,0.06,5,High,intermediario
Nano Challa Ethiopia,Tandem Coffee,Medium-Light,United States,Ethiopia,5.29,93,February,2019,0.05688172043010753,5,High,barato
Ethiopia Hambela Natural Organic,Willoughby's Coffee & Tea,Medium-Light,United States,Ethiopia,4.41,94,February,2019,0.04691489361702128,5,High,barato
